name,phone,project,income,tier
"Wong Zulkifli","+60183592974","Subang Parksuites",11582,"Warm"
"Santhi Goh","+60124009172","Bangsar South Suites",7221,"New"
"Farhan Lee","+60142813543","Damansara Heights Residence",11644,"Hot"
"Chong Hassan","+60158722606","Shah Alam Vista",7000,"Warm"
"Farhan Hariz","+60157685149","Shah Alam Vista",6782,"Hot"
"Sarah Zulkifli","+60189996207","Shah Alam Vista",4726,"Hot"
"Sarah Razif","+60161641849","SkyResidence Subang",9387,"New"
"Siti Subramaniam","+60189580255","SkyResidence Subang",7655,"Hot"
"Mohd Lee","+60128315831","SkyResidence Subang",8759,"Hot"
"Mohd Zulkifli","+60182173965","Bangsar South Suites",7204,"Hot"
"Jason Wei Lun","+60169508103","Shah Alam Vista",9963,"New"
"Jason Nordin","+60163135534","Subang Parksuites",7944,"New"
"Santhi Chen","+60181006810","Shah Alam Vista",6850,"Warm"
"Amir Subramaniam","+60198411939","Damansara Heights Residence",10034,"Warm"
"Devi Osman","+60142422633","Shah Alam Vista",8722,"Hot"
"Jason Aini","+60156207974","Subang Parksuites",11107,"Warm"
"Tan Hariz","+60125107776","Damansara Heights Residence",9507,"Hot"
"Syed Goh","+60157442089","Damansara Heights Residence",7773,"Warm"
"Tan Hariz","+60138132769","Subang Parksuites",5940,"Hot"
"Syed Kumar","+60153036059","Damansara Heights Residence",5592,"New"
"Devi Subramaniam","+60199468772","Damansara Heights Residence",11304,"Hot"
"Syed Razif","+60198550917","Shah Alam Vista",10658,"Warm"
"Sarah Osman","+60155606980","Damansara Heights Residence",5134,"New"
"Farhan Lee","+60176363836","Mont Kiara Pavilion",5160,"Warm"
"Tan Hassan","+60183563646","Bangsar South Suites",6252,"Hot"
"Amir Goh","+60178816912","Damansara Heights Residence",5010,"Warm"
"Amir Nordin","+60127381734","Damansara Heights Residence",4548,"New"
"Kevin Nordin","+60184700025","Damansara Heights Residence",6297,"New"
"Amir Osman","+60127523941","Shah Alam Vista",9979,"New"
"Santhi Rosli","+60149961107","SkyResidence Subang",11929,"New"
"Hafiz Hariz","+60138190929","Subang Parksuites",11601,"New"
"Santhi Kumar","+60167360307","Shah Alam Vista",6233,"New"
"Jason Subramaniam","+60185668371","Damansara Heights Residence",6566,"Hot"
"Chong Hariz","+60126871360","Subang Parksuites",9825,"Hot"
"Ahmad Hariz","+60154344717","SkyResidence Subang",9589,"Warm"
"Farhan Faizal","+60192919136","Mont Kiara Pavilion",6285,"New"
"Sarah Zulkifli","+60142921542","Subang Parksuites",7048,"Hot"
"Hafiz Hariz","+60167296605","Damansara Heights Residence",10357,"Warm"
"Nurul Hassan","+60136059717","Bangsar South Suites",9418,"Hot"
"Hafiz Kumar","+60179937982","Damansara Heights Residence",9919,"New"
"Nurul Subramaniam","+60128047416","Damansara Heights Residence",5364,"New"
"Siti Rosli","+60148306261","Subang Parksuites",10511,"Hot"
"Sarah Osman","+60198307727","Bangsar South Suites",9353,"New"
"Jason Hassan","+60135679639","Damansara Heights Residence",6497,"New"
"Hafiz Nordin","+60171481506","Damansara Heights Residence",11471,"New"
"Santhi Osman","+60156952975","Shah Alam Vista",7288,"New"
